id,image,CQ,AQ,HQ,VQ,model,prompt_version,raw
1,00001_stitched.jpg,0.34,0.24,0.26,-0.08,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.34,""AQ"":0.24,""HQ"":0.26,""VQ"":-0.08}"
7,00007_stitched.jpg,-0.15,0.06,0.33,0.28,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.15,""AQ"":0.06,""HQ"":0.33,""VQ"":0.28}"
10,00010_stitched.jpg,-0.21,0.18,0.26,0.34,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.21,""AQ"":0.18,""HQ"":0.26,""VQ"":0.34}"
16,00016_stitched.jpg,0.3,0.12,0.1,0.1,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.30,""AQ"":0.12,""HQ"":0.10,""VQ"":0.10}"
23,00023_stitched.jpg,0.05,0.14,0.0,0.1,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.05,""AQ"":0.14,""HQ"":0.00,""VQ"":0.10}"
26,00026_stitched.jpg,-0.01,-0.02,0.16,0.34,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.01,""AQ"":-0.02,""HQ"":0.16,""VQ"":0.34}"
31,00031_stitched.jpg,0.25,-0.06,-0.1,0.22,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.25,""AQ"":-0.06,""HQ"":-0.10,""VQ"":0.22}"
36,00036_stitched.jpg,0.12,0.32,0.34,0.23,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.12,""AQ"":0.32,""HQ"":0.34,""VQ"":0.23}"
38,00038_stitched.jpg,0.08,-0.0,0.06,0.11,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.08,""AQ"":-0.00,""HQ"":0.06,""VQ"":0.11}"
40,00040_stitched.jpg,0.58,-0.09,-0.1,0.32,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.58,""AQ"":-0.09,""HQ"":-0.10,""VQ"":0.32}"
43,00043_stitched.jpg,-0.03,0.26,0.08,0.11,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.03,""AQ"":0.26,""HQ"":0.08,""VQ"":0.11}"
47,00047_stitched.jpg,-0.02,-0.06,0.51,0.08,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.02,""AQ"":-0.06,""HQ"":0.51,""VQ"":0.08}"
50,00050_stitched.jpg,0.15,-0.14,-0.19,-0.16,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.15,""AQ"":-0.14,""HQ"":-0.19,""VQ"":-0.16}"
51,00051_stitched.jpg,0.24,-0.07,-0.35,0.05,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.24,""AQ"":-0.07,""HQ"":-0.35,""VQ"":0.05}"
53,00053_stitched.jpg,0.6,0.59,0.3,0.01,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.60,""AQ"":0.59,""HQ"":0.30,""VQ"":0.01}"
58,00058_stitched.jpg,-0.01,-0.33,0.02,0.05,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.01,""AQ"":-0.33,""HQ"":0.02,""VQ"":0.05}"
63,00063_stitched.jpg,0.12,0.15,-0.12,0.15,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.12,""AQ"":0.15,""HQ"":-0.12,""VQ"":0.15}"
67,00067_stitched.jpg,-0.1,-0.22,0.06,-0.13,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.10,""AQ"":-0.22,""HQ"":0.06,""VQ"":-0.13}"
73,00073_stitched.jpg,0.02,0.59,-0.01,0.12,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.02,""AQ"":0.59,""HQ"":-0.01,""VQ"":0.12}"
80,00080_stitched.jpg,0.39,0.31,0.12,0.06,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.39,""AQ"":0.31,""HQ"":0.12,""VQ"":0.06}"
86,00086_stitched.jpg,0.16,-0.1,-0.05,-0.06,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.16,""AQ"":-0.10,""HQ"":-0.05,""VQ"":-0.06}"
95,00095_stitched.jpg,0.9,0.36,0.22,-0.02,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.90,""AQ"":0.36,""HQ"":0.22,""VQ"":-0.02}"
99,00099_stitched.jpg,0.81,0.46,0.32,-0.03,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.81,""AQ"":0.46,""HQ"":0.32,""VQ"":-0.03}"
115,00115_stitched.jpg,0.61,-0.2,0.05,0.08,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.61,""AQ"":-0.20,""HQ"":0.05,""VQ"":0.08}"
120,00120_stitched.jpg,0.37,0.19,0.03,-0.04,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.37,""AQ"":0.19,""HQ"":0.03,""VQ"":-0.04}"
123,00123_stitched.jpg,0.51,0.55,-0.11,-0.06,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.51,""AQ"":0.55,""HQ"":-0.11,""VQ"":-0.06}"
124,00124_stitched.jpg,0.18,0.29,-0.11,-0.22,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.18,""AQ"":0.29,""HQ"":-0.11,""VQ"":-0.22}"
128,00128_stitched.jpg,-0.15,0.16,-0.15,0.22,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.15,""AQ"":0.16,""HQ"":-0.15,""VQ"":0.22}"
133,00133_stitched.jpg,0.18,0.05,-0.01,0.28,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.18,""AQ"":0.05,""HQ"":-0.01,""VQ"":0.28}"
